query_id,query_text,doc_id,relevance,score,reason,document_type,title,course_code,file_name,preview
q01,"Find artificial intelligence certificate forms, certificate worksheets, program applications, professional AI certificate documents, and related AI certificate requirements.",pdf_0511_professional-ai-certificate-program-application,2,35,strong=5; medium=5; weak=0; score=35,program_form_or_worksheet,Professional Ai Certificate Program Application,,professional-ai-certificate-program-application.pdf,"Document_Type = program_form_or_worksheet, Title = Professional Ai Certificate Program Application, Course_Code = , Prefix = , Number = , Level = , Source_Page = , Linked_File_or_Page = , File_Name = professional-ai-certificate-program-application.pdf, Content = 03.17.2022 PROFESSIONAL ARTIFICIAL INTELLIGENCE CERTIFICATE PROGRAM APPLICATION Application to the program requires that this form be fil"
q01,"Find artificial intelligence certificate forms, certificate worksheets, program applications, professional AI certificate documents, and related AI certificate requirements.",pdf_0512_professional-certificate-ai-worksheet,2,31,strong=4; medium=5; weak=1; score=31,program_form_or_worksheet,Professional Certificate Ai Worksheet,,professional-certificate-ai-worksheet.pdf,"Document_Type = program_form_or_worksheet, Title = Professional Certificate Ai Worksheet, Course_Code = , Prefix = , Number = , Level = , Source_Page = , Linked_File_or_Page = , File_Name = professional-certificate-ai-worksheet.pdf, Content = 03.17.22 Professional Artificial Intelligence Certificate Program Advising Sheet (minimum 12 credits) Name: __________ Z Number: FAU Start Date: __ __ E-mail"
q01,"Find artificial intelligence certificate forms, certificate worksheets, program applications, professional AI certificate documents, and related AI certificate requirements.",pdf_0341_certificate-artificial--intelligence-program-application,2,28,strong=4; medium=4; weak=0; score=28,program_form_or_worksheet,Certificate Artificial Intelligence Program Application,,certificate-artificial--intelligence-program-application.pdf,"Document_Type = program_form_or_worksheet, Title = Certificate Artificial Intelligence Program Application, Course_Code = , Prefix = , Number = , Level = , Source_Page = , Linked_File_or_Page = , File_Name = certificate-artificial--intelligence-program-application.pdf, Content = ARTIFICIAL INTELLIGENCE CERTIFICATE PROGRAM APPLICATION Admission Requirements: This certificate program is open to stud"
q01,"Find artificial intelligence certificate forms, certificate worksheets, program applications, professional AI certificate documents, and related AI certificate requirements.",pdf_0509_newcertificate-artificial-intelligence-worksheet,2,26,strong=4; medium=3; weak=0; score=26,program_form_or_worksheet,Newcertificate Artificial Intelligence Worksheet,,newcertificate-artificial-intelligence-worksheet.pdf,"Document_Type = program_form_or_worksheet, Title = Newcertificate Artificial Intelligence Worksheet, Course_Code = , Prefix = , Number = , Level = , Source_Page = , Linked_File_or_Page = , File_Name = newcertificate-artificial-intelligence-worksheet.pdf, Content = Effective: Summer2025 Do not alter this worksheet. Any changes will render it null and void. ARTIFICIAL INTELLIGENCE CERTIFICATE PROGRA"
q01,"Find artificial intelligence certificate forms, certificate worksheets, program applications, professional AI certificate documents, and related AI certificate requirements.",pdf_0278_artificial-inteligence-certificate-worksheet-jan6,2,25,strong=3; medium=5; weak=0; score=25,program_form_or_worksheet,Artificial Inteligence Certificate Worksheet Jan6,,artificial-inteligence-certificate-worksheet-jan6.pdf,"Document_Type = program_form_or_worksheet, Title = Artificial Inteligence Certificate Worksheet Jan6, Course_Code = , Prefix = , Number = , Level = , Source_Page = , Linked_File_or_Page = , File_Name = artificial-inteligence-certificate-worksheet-jan6.pdf, Content = 01.06.21 Artificial Intelligence Certificate Program Advising Sheet (minimum 15 credits) Name: ___________ Z Number: FAU Start Date: "
q01,"Find artificial intelligence certificate forms, certificate worksheets, program applications, professional AI certificate documents, and related AI certificate requirements.",pdf_0342_certificate-artificial-intelligence--program-worksheet,2,25,strong=3; medium=5; weak=0; score=25,program_form_or_worksheet,Certificate Artificial Intelligence Program Worksheet,,certificate-artificial-intelligence--program-worksheet.pdf,"Document_Type = program_form_or_worksheet, Title = Certificate Artificial Intelligence Program Worksheet, Course_Code = , Prefix = , Number = , Level = , Source_Page = , Linked_File_or_Page = , File_Name = certificate-artificial-intelligence--program-worksheet.pdf, Content = 08.28.25 MINOR IN ARTIFICIAL INTELLIGENCE PROGRAM ADVISING SHEET (MINIMUM 12 CREDITS) Name: Z Number: FAU Start Date: E-mail"
q01,"Find artificial intelligence certificate forms, certificate worksheets, program applications, professional AI certificate documents, and related AI certificate requirements.",pdf_0343_certificate-artificial-intelligence-program-worksheet,2,25,strong=3; medium=5; weak=0; score=25,program_form_or_worksheet,Certificate Artificial Intelligence Program Worksheet,,certificate-artificial-intelligence-program-worksheet.pdf,"Document_Type = program_form_or_worksheet, Title = Certificate Artificial Intelligence Program Worksheet, Course_Code = , Prefix = , Number = , Level = , Source_Page = , Linked_File_or_Page = , File_Name = certificate-artificial-intelligence-program-worksheet.pdf, Content = 08.28.25 M INOR IN ARTIFICIAL INTELLIGENCE PROGRAM ADVISING SHEET (MINIMUM 12 CREDITS) Name: Z Number: F AU Start Date: E-mai"
q01,"Find artificial intelligence certificate forms, certificate worksheets, program applications, professional AI certificate documents, and related AI certificate requirements.",pdf_0280_artificial-intelligence-cert-program-worksheet,2,23,strong=3; medium=4; weak=0; score=23,program_form_or_worksheet,Artificial Intelligence Cert Program Worksheet,,artificial-intelligence-cert-program-worksheet.pdf,"Document_Type = program_form_or_worksheet, Title = Artificial Intelligence Cert Program Worksheet, Course_Code = , Prefix = , Number = , Level = , Source_Page = , Linked_File_or_Page = , File_Name = artificial-intelligence-cert-program-worksheet.pdf, Content = Effective: Summer2025 Do not alter this worksheet. Any changes will render it null and void. ARTIFICIAL INTELLIGENCE CERTIFICATE PROGRAM AD"
q01,"Find artificial intelligence certificate forms, certificate worksheets, program applications, professional AI certificate documents, and related AI certificate requirements.",pdf_0281_artificial-intelligence-certificate-program-application-jan6,2,23,strong=3; medium=4; weak=0; score=23,program_form_or_worksheet,Artificial Intelligence Certificate Program Application Jan6,,artificial-intelligence-certificate-program-application-jan6.pdf,"Document_Type = program_form_or_worksheet, Title = Artificial Intelligence Certificate Program Application Jan6, Course_Code = , Prefix = , Number = , Level = , Source_Page = , Linked_File_or_Page = , File_Name = artificial-intelligence-certificate-program-application-jan6.pdf, Content = 01.06.21 Artificial Intelligence Certificate Program Application Application to the program requires that this "
q01,"Find artificial intelligence certificate forms, certificate worksheets, program applications, professional AI certificate documents, and related AI certificate requirements.",pdf_0282_artificial-intelligence-minor-program-application-jan6,2,15,strong=1; medium=5; weak=0; score=15,program_form_or_worksheet,Artificial Intelligence Minor Program Application Jan6,,artificial-intelligence-minor-program-application-jan6.pdf,"Document_Type = program_form_or_worksheet, Title = Artificial Intelligence Minor Program Application Jan6, Course_Code = , Prefix = , Number = , Level = , Source_Page = , Linked_File_or_Page = , File_Name = artificial-intelligence-minor-program-application-jan6.pdf, Content = 01.06.21 Minor in Artificial Intelligence Program Application Application to the program requires that this form be complet"
q01,"Find artificial intelligence certificate forms, certificate worksheets, program applications, professional AI certificate documents, and related AI certificate requirements.",pdf_0409_data-science-certificate-worksheet,2,15,strong=1; medium=4; weak=2; score=15,program_form_or_worksheet,Data Science Certificate Worksheet,CAP 3786,data-science-certificate-worksheet.pdf,"Document_Type = program_form_or_worksheet, Title = Data Science Certificate Worksheet, Course_Code = CAP 3786, Prefix = CAP, Number = 3786, Level = undergraduate, Source_Page = , Linked_File_or_Page = , File_Name = data-science-certificate-worksheet.pdf, Content = 07.27.20 Data Science - Computer Science Track Certificate Program Advising Sheet (minimum 15 credits) Name: ___________ Z Number: FAU "
